responden,jenis_kelamin,usia,pendidikan,penghasilan,aktivitas_meningkat_1,aktivitas_meningkat_2,aktivitas_meningkat_3,aktivitas_meningkat_4,aktivitas_meningkat_5,memiliki_akun_bank?,bank_pilihan_1,bank_pilihan_2,bank_pilihan_3,bank_pilihan_4,bank_pilihan_5,transfer_antar_bank,bayar_tagihan,keluhan_1,keluhan_2,keluhan_3
1784,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1785,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,Melakukan konsultasi kesehatan secara online,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1786,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,,,
1787,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1788,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,,,ya,,,BNI,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1789,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1790,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1791,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,Mandiri,,Mobile Banking,Datang ke cabang bank,Layanan/ Sistem down,,
1792,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,ATM,ATM,Layanan/ Sistem down,,
1793,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,,,
1794,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,Mandiri,,ATM,ATM,Layanan/ Sistem down,,
1795,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1796,Perempuan,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1797,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1798,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1799,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1800,Laki – laki,15-20 tahun,SMA,tidak menjawab,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1801,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1802,Perempuan,15-20 tahun,SMA,Rp 5 juta – Rp 10 juta,,,,,,ya,,BCA,,,,Internet Banking,Internet Banking,Layanan/ Sistem down,,
1803,Laki – laki,15-20 tahun,SMA,Rp 5 juta – Rp 10 juta,Berbelanja online,,Mengikuti kelas online,,,ya,BRI,,,,,SMS Banking,ATM,Layanan/ Sistem down,,
1804,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,,BCA,BNI,,,Mobile Banking,Datang ke cabang bank,,,
1805,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,BCA,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1806,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,BNI,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1807,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,,,ya,,BCA,BNI,,,Internet Banking,Internet Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1808,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,BCA,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1809,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,,,,,,Mobile Banking,Datang ke cabang bank,Layanan/ Sistem down,,
1810,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1811,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,BRI,BCA,BNI,,,Internet Banking,Datang ke cabang bank,Layanan/ Sistem down,,
1812,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1813,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,BNI,,,Mobile Banking,ATM,Layanan/ Sistem down,,
1814,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,BRI,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1815,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,,,
1816,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,,,BNI,Mandiri,,ATM,ATM,,,Transaksi / pembayaran yang sama terjadi dua kali
1817,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
1818,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1819,Perempuan,15-20 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1820,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1821,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1822,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Internet Banking,Internet Banking,Layanan/ Sistem down,,
1823,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1824,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1825,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,,,ya,,BCA,,Mandiri,,ATM,ATM,Layanan/ Sistem down,,
1826,Perempuan,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,Mandiri,,Internet Banking,Internet Banking,,,
1827,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
1828,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,BRI,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1829,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1830,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1831,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Internet Banking,Mobile Banking,Layanan/ Sistem down,,
1832,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1833,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1834,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,ATM,ATM,Layanan/ Sistem down,,
1835,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1836,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1837,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1838,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,BRI,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1839,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,,Mobile Banking,Mobile Banking,,,
1840,Laki – laki,15-20 tahun,SMA,tidak menjawab,,,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
1841,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
1842,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Datang ke cabang bank,ATM,,,
1843,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1844,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1845,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,,,
1846,Perempuan,21-30 tahun,SMA,tidak menjawab,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1847,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1848,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1849,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1850,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1851,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
1852,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1853,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1854,Laki – laki,15-20 tahun,SMP,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,Mandiri,,ATM,ATM,Layanan/ Sistem down,,
1855,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1856,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1857,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,Melakukan konsultasi kesehatan secara online,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
1858,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Datang ke cabang bank,Layanan/ Sistem down,,
1859,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,,,
1860,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1861,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,,,
1862,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1863,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1864,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,,,,,ATM,Mobile Banking,Layanan/ Sistem down,,
1865,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1866,Perempuan,21-30 tahun,SMA,tidak menjawab,,,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,SMS Banking,SMS Banking,,,
1867,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
1868,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1869,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,BCA,BNI,,,ATM,Datang ke cabang bank,Layanan/ Sistem down,,
1870,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
1871,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1872,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,BNI,,,Mobile Banking,Mobile Banking,,,
1873,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Internet Banking,Internet Banking,,,
1874,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1875,Laki – laki,31-40 tahun,S2,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,Akses media sosial,,ya,,BCA,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1876,tidak menjawab,tidak menjawab,tidak menjawab,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,,,,Mandiri,,ATM,ATM,,,
1877,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,ATM,Layanan/ Sistem down,,
1878,Perempuan,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,,,
1879,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1880,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,CIMB Niaga,Mobile Banking,Mobile Banking,,Proses tidak berhasil namun saldo terpotong,
1881,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,ATM,ATM,Layanan/ Sistem down,,
1882,Laki – laki,>50 tahun,S1,> Rp 10 juta,,Streaming video/ film,,Akses media sosial,,ya,,BCA,,,,ATM,ATM,,Proses tidak berhasil namun saldo terpotong,
1883,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
1884,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1885,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,BCA,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1886,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Internet Banking,Internet Banking,Layanan/ Sistem down,,
1887,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,,,
1888,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1889,Perempuan,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1890,Perempuan,>50 tahun,SMA,< Rp 2 juta,Berbelanja online,,,,,ya,,BCA,,,,Mobile Banking,ATM,,,
1891,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1892,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,ATM,ATM,Layanan/ Sistem down,,
1893,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1894,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,,,Melakukan konsultasi kesehatan secara online,ya,,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1895,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
1896,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1897,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1898,Laki – laki,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,BRI,,BNI,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,Transaksi / pembayaran yang sama terjadi dua kali
1899,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1900,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1901,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1902,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1903,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,SMS Banking,SMS Banking,Layanan/ Sistem down,,
1904,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,ATM,ATM,Layanan/ Sistem down,,
1905,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,BCA,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1906,Perempuan,31-40 tahun,S2,Rp 5 juta – Rp 10 juta,,,,Akses media sosial,,ya,BRI,,BNI,Mandiri,CIMB Niaga,Internet Banking,Internet Banking,Layanan/ Sistem down,,
1907,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,,,ya,BRI,,,,,Mobile Banking,Mobile Banking,,,
1908,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1909,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,,Internet Banking,Mobile Banking,,,
1910,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1911,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1912,Perempuan,15-20 tahun,SMA,tidak menjawab,,,Mengikuti kelas online,,,ya,BRI,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1913,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1914,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,,,,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1915,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1916,Perempuan,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1917,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Datang ke cabang bank,Datang ke cabang bank,,,
1918,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1919,Perempuan,>50 tahun,S2,> Rp 10 juta,Berbelanja online,,,,,ya,BRI,BCA,BNI,,,Mobile Banking,Internet Banking,Layanan/ Sistem down,,
